,Name,Price,Alcohol,Bottle,Category,From,Variety,Winery,Score,Year
1831,Cinta 2021  Montepulciano d'Abruzzo,$11,12.0,750,Red,Central Italy,"Montepulciano, Italian Red",Cinta,87 Points,2021
1832,J. Portugal Ramos 2021 Villa Santa White (Alentejano),$13,12.0,750,White,Portugal,Portuguese White,J. Portugal Ramos,87 Points,2021
1833,Undurraga 2021 Estate Grown Sauvignon Blanc (Central Valley),$5,12.0,750,White,Chile,Sauvignon Blanc,Undurraga,87 Points,2021
1834,Terrapura 2020 Reserva Carmenere (Colchagua Valley),$10,13.0,750,Red,Chile,"Carmenère, Carmenère",Terrapura,87 Points,2020
1835,Santa Ema 2020 Select Terroir Reserva Merlot (Cachapoal Valley),$10,13.0,750,Red,Chile,Merlot,Santa Ema,87 Points,2020
1836,Airfield Estates 2021 Flygirl White White (Yakima Valley),$18,13.0,750,White,Columbia Valley,White Blend,Airfield Estates,87 Points,2021
1837,Badger Hound 2018 Red (Sonoma County),$25,15.0,750,Red,Sonoma,"Red Blends, Red Blends",Badger Hound,87 Points,2018
1838,Casas del Bosque 2022 La Cantera Botanic Series Sauvignon Blanc (Casablanca Valley),$18,13.0,750,White,Chile,Sauvignon Blanc,Casas del Bosque,87 Points,2022
1839,Catabbo Cantine 2019 S Tintilia (Molise),$35,14.0,750,Red,Southern Italy,"Tintilia , Italian Red",Catabbo Cantine,87 Points,2019
1840,Château Maison Neuve 2021 S Sauvignon  (Blaye Côtes de Bordeaux),$19,12.0,750,White,Bordeaux,Sauvignon Blanc,Château Maison Neuve,87 Points,2021
1841,Château Monconseil-Gazin 2020 Grande Réserve  (Blaye Côtes de Bordeaux),$23,13.0,750,Red,Bordeaux,Bordeaux-style Red Blend,Château Monconseil-Gazin,87 Points,2020
1842,Clos LaChance 2020 Pinot Noir (Central Coast),$17,14.0,750,Red,Central Coast,Pinot Noir,Clos LaChance,87 Points,2020
1843,Complices de Loire 2021 Cuvée Pointe d'Agrumes Sauvignon Blanc (Touraine),$17,12.0,750,White,Loire Valley,Sauvignon Blanc,Complices de Loire,87 Points,2021
1844,Dourthe 2021 La Grande Cuvée Rosé (Bordeaux Rosé),$16,12.0,750,Rose,Bordeaux,Rosé,Dourthe,87 Points,2021
1845,F. Stephen Millier 2021 Legend Series Hay Station Ranch Tempranillo (Calaveras County),$23,14.0,750,Red,Sierra Foothills,Tempranillo,F. Stephen Millier,87 Points,2021
1846,Helix 2017 Phinny Hill Vineyards Syrah (Horse Heaven Hills),$48,14.0,750,Red,Columbia Valley,Syrah,Helix,87 Points,2017
1847,Helix 2019 Cabernet Sauvignon (Columbia Valley (WA)),$33,13.0,750,Red,Columbia Valley,Cabernet Sauvignon,Helix,87 Points,2019
1848,Miguel Torres 2019 Cordillera de los Andes Reserva Especial Parcela-Coluvión Cabernet Sauvignon (Maipo Valley),$20,13.0,750,Red,Chile,Cabernet Sauvignon,Miguel Torres,87 Points,2019
1849,Montaudon NV La Grand Rosé Brut  (Champagne),$53,12.0,750,Sparkling,Champagne,"Champagne Blend, Sparkling",Montaudon,87 Points,
1850,Spy Valley 2017 Sustainably Crafted Southern Valleys Single Estate Pinot Noir (Marlborough),$25,13.0,750,Red,New Zealand,Pinot Noir,Spy Valley,87 Points,2017
1851,Terra d'Oro 2020 Donna Avida Red (Amador County),$24,14.0,750,Red,Sierra Foothills,"Red Blends, Red Blends",Terra d'Oro,87 Points,2020
1852,Valdivieso 2019 Palena Gran Reserva Carménère (Rapel Valley),$18,14.0,750,Red,Chile,"Carmenère, Carmenère",Valdivieso,87 Points,2019
1853,Vignobles Bulliat 2021 Bibine  (Beaujolais-Villages),$23,13.0,750,Red,Beaujolais,Gamay,Vignobles Bulliat,87 Points,2021
1854,Vignobles Carreau Sélection 2020 Odyssée Merlot-Malbec  (Blaye Côtes de Bordeaux),$20,14.0,750,Red,Bordeaux,Bordeaux-style Red Blend,Vignobles Carreau Sélection,87 Points,2020
1855,14 Hands 2021 Rosé (Columbia Valley (WA)),$15,13.0,750,Rose,Columbia Valley,Rosé,14 Hands,87 Points,14
1856,Vignobles Gonfrier 2020 Marquis de Bern  (Bordeaux),$13,13.0,750,Red,Bordeaux,Bordeaux-style Red Blend,Vignobles Gonfrier,87 Points,2020
1857,Bosco Nestore 2021 Pecorino (Colline Pescaresi),$15,13.0,750,White,Central Italy,"Pecorino, Italian White",Bosco Nestore,87 Points,2021
1858,Ironstone 2020 Obsession Symphony (California),$12,12.0,750,White,California Other,"Symphony, Other White",Ironstone,87 Points,2020
1859,Tormaresca 2020 Nèprica Primitivo (Puglia),$12,14.0,750,Red,Southern Italy,"Primitivo, Zinfandel",Tormaresca,87 Points,2020
1860,VIgnobles Ducourt 2020 André et Léon  (Bordeaux),$14,13.0,750,Red,Bordeaux,Cabernet Sauvignon,VIgnobles Ducourt,87 Points,2020
1861,Agustinos 2021 Reserva Cabernet Sauvignon (Maipo Valley),$12,13.0,750,Red,Chile,Cabernet Sauvignon,Agustinos,87 Points,2021
1862,Indomita 2021 Gran Reserva Cabernet Sauvignon (Maipo Valley),$11,14.0,750,Red,Chile,Cabernet Sauvignon,Indomita,87 Points,2021
1863,Viña San Esteban 2020 In Situ - Reserva Pinot Noir (Casablanca Valley),$12,12.0,750,Red,Chile,Pinot Noir,Viña San Esteban,87 Points,2020
1864,Ochagavia 2019 Don Silvestre Gran Reserva Cabernet Sauvignon (Colchagua Valley),$15,13.0,750,Red,Chile,Cabernet Sauvignon,Ochagavia,87 Points,2019
1865,Alta Cellars 2020 Reserve Weinbau Vineyard Carmenere (Wahluke Slope),$75,14.0,750,Red,Columbia Valley,"Carmenère, Carmenère",Alta Cellars,87 Points,2020
1866,Beringer Bros. 2020 Rye Barrel Aged Red (California),$18,14.0,750,Red,California Other,"Red Blends, Red Blends",Beringer Bros.,87 Points,2020
1867,Bodegas Faustino 2021 Art Collection Viura-Chardonnay (Rioja),$12,12.0,750,White,Northern Spain,"Viura-Chardonnay, White Blend",Bodegas Faustino,87 Points,2021
1868,Broadside 2020 Cabernet Sauvignon (Paso Robles),$17,13.0,750,Red,Central Coast,Cabernet Sauvignon,Broadside,87 Points,2020
1869,Château Chatard 2020 Chatard  (Cadillac Côtes de Bordeaux),$16,13.0,750,Red,Bordeaux,Bordeaux-style Red Blend,Château Chatard,87 Points,2020
1870,Château de Lestiac 2020 Cuvée Prestige  (Cadillac Côtes de Bordeaux),$25,14.0,750,Red,Bordeaux,Bordeaux-style Red Blend,Château de Lestiac,87 Points,2020
1871,Château Graulet 2020  Blaye Côtes de Bordeaux,$40,15.0,750,Red,Bordeaux,Bordeaux-style Red Blend,Château Graulet,87 Points,2020
1872,Château Haut Grela 2020  Blaye Côtes de Bordeaux,$30,13.0,750,Red,Bordeaux,Merlot,Château Haut Grela,87 Points,2020
1873,Château Lacaussade Saint-Martin 2020  Blaye Côtes de Bordeaux,$30,14.0,750,Red,Bordeaux,Bordeaux-style Red Blend,Château Lacaussade Saint-Martin,87 Points,2020
1874,Château le Gardera 2020  Bordeaux Supérieur,$16,13.0,750,Red,Bordeaux,Bordeaux-style Red Blend,Château le Gardera,87 Points,2020
1875,Château Terre Blanque 2020  Blaye Côtes de Bordeaux,$40,13.0,750,Red,Bordeaux,Bordeaux-style Red Blend,Château Terre Blanque,87 Points,2020
1876,Domaine François Villon 2021 Medium Dry  (Vouvray),$20,12.0,750,White,Loire Valley,Chenin Blanc,Domaine François Villon,87 Points,2021
1877,Domaine Joncy 2020 Chavagnon Quincié  (Beaujolais),$20,13.0,750,Red,Beaujolais,Gamay,Domaine Joncy,87 Points,2020
1878,Equioa 2019 Merlot (Monterey),$17,13.0,750,Red,Central Coast,Merlot,Equioa,87 Points,2019
1879,Eternal 2017 Eternal Discovery Cabernet Sauvignon (Horse Heaven Hills),$59,14.0,750,Red,Columbia Valley,Cabernet Sauvignon,Eternal,87 Points,2017
1880,French Blue NV Brut  (Crémant de Bordeaux),$27,12.0,750,Sparkling,Bordeaux,"Sparkling Blend, Sparkling",French Blue,87 Points,
1881,Héroe 2020 Cabernet Sauvignon (Paso Robles),$25,14.0,750,Red,Central Coast,Cabernet Sauvignon,Héroe,87 Points,2020
1882,Lasseter 2021 Enjoué Estate Grown Rosé (Sonoma County),$35,13.0,750,Rose,Sonoma,Rosé,Lasseter,87 Points,2021
1883,Maquis 2017 Franco Cabernet Franc (Colchagua Valley),$85,14.0,750,Red,Chile,Cabernet Franc,Maquis,87 Points,2017
1884,Marchesi De'Cordano 2020 Palazzo Battaglini  (Montepulciano d'Abruzzo),$20,13.0,750,Red,Central Italy,"Montepulciano, Italian Red",Marchesi De'Cordano,87 Points,2020
1885,Montoliva 2018 Aglianico (Sierra Foothills),$35,14.0,750,Red,Sierra Foothills,"Aglianico, Italian Red",Montoliva,87 Points,2018
1886,:Nota Bene 2017 Heart of the Hil Vineyard Mourvèdre (Red Mountain),$30,14.0,750,Red,Columbia Valley,Mourvèdre,:Nota Bene,87 Points,2017
1887,Succession 2020 Cabernet Franc (Columbia Valley (WA)),$50,14.0,750,Red,Columbia Valley,Cabernet Franc,Succession,87 Points,2020
1888,Succession 2020 Reserve Petit Verdot (Wahluke Slope),$78,14.0,750,Red,Columbia Valley,Petit Verdot,Succession,87 Points,2020
1889,San Marzano 2021 Il Pumo Negroamaro (Salento),$11,13.0,750,Red,Southern Italy,"Negroamaro, Italian Red",San Marzano,86 Points,2021
1890,Columbia Crest 2020 Grand Estates Limited Edition Gold Red (Columbia Valley (WA)),$12,13.0,750,Red,Columbia Valley,"Red Blends, Red Blends",Columbia Crest,86 Points,2020
1891,San Pedro 2021 Gato Negro Semi Sweet White (Central Valley),$5,10.0,750,White,Chile,White Blend,San Pedro,86 Points,2021
1892,Asuncion Ridge 2021 Viognier (Paso Robles),$36,15.0,750,White,Central Coast,Viognier,Asuncion Ridge,86 Points,2021
1893,Château Bréhat 2020  Castillon Côtes de Bordeaux,$25,14.0,750,Red,Bordeaux,Bordeaux-style Red Blend,Château Bréhat,86 Points,2020
1894,Château Tour Saint-Germain 2020  Blaye Côtes de Bordeaux,$18,14.0,750,Red,Bordeaux,Bordeaux-style Red Blend,Château Tour Saint-Germain,86 Points,2020
1895,Chic Barcelona NV Brut Sparkling (Cava),$10,11.0,750,Sparkling,Catalonia,"Sparkling Blend, Sparkling",Chic Barcelona,86 Points,
1896,De Martino 2020 Legado Cabernet Sauvignon (Maipo Valley),$21,13.0,750,Red,Chile,Cabernet Sauvignon,De Martino,86 Points,2020
1897,Domaine du Petit Coteau 2020 Sec  (Vouvray),$20,13.0,750,White,Loire Valley,Chenin Blanc,Domaine du Petit Coteau,86 Points,2020
1898,Dusted Valley 2021 Pinot Gris (Ancient Lakes),$19,13.0,750,White,Columbia Valley,Pinot Gris,Dusted Valley,86 Points,2021
1899,Equioa 2020 Pinot Noir (Monterey County),$17,13.0,750,Red,Central Coast,Pinot Noir,Equioa,86 Points,2020
1900,Graymore 2021 Chardonnay (Edna Valley),$30,14.0,750,White,Central Coast,Chardonnay,Graymore,86 Points,2021
1901,Matetic 2021 Organic Grapes Sauvignon Blanc (Casablanca Valley),$20,13.0,750,White,Chile,Sauvignon Blanc,Matetic,86 Points,2021
1902,The Gentleman's Match Wine Co 2021 El Camino a Santiago Reserve Cabernet Sauvignon (Central Valley),$23,14.0,750,Red,Chile,Cabernet Sauvignon,The Gentleman's Match Wine Co,86 Points,2021
1903,Cantina Valle Tritana 2020  Montepulciano d'Abruzzo,$10,13.0,750,Red,Central Italy,"Montepulciano, Italian Red",Cantina Valle Tritana,86 Points,2020
1904,Domaine du Mont Verrier 2020 Pierres Dorées  (Beaujolais),$12,14.0,750,Red,Beaujolais,Gamay,Domaine du Mont Verrier,86 Points,2020
1905,Oyster Bay 2020 Merlot (Hawke's Bay),$15,13.0,750,Red,New Zealand,Merlot,Oyster Bay,86 Points,2020
1906,Cantele 2019 Primitivo (Salento),$15,14.0,750,Red,Southern Italy,"Primitivo, Zinfandel",Cantele,86 Points,2019
1907,Ochagavia 2021 Don Silvestre Reserva Sauvignon Blanc (Rapel Valley),$13,12.0,750,White,Chile,Sauvignon Blanc,Ochagavia,86 Points,2021
1908,Château Cône-Taillasson Sabourin 2020  Blaye Côtes de Bordeaux,$15,14.0,750,Red,Bordeaux,Bordeaux-style Red Blend,Château Cône-Taillasson Sabourin,86 Points,2020
1909,San Pedro 2021 Gato Negro Cabernet-Merlot Cabernet Sauvignon-Merlot (Central Valley),$5,13.0,750,Red,Chile,"Cabernet Sauvignon-Merlot, Bordeaux-style Red Blend",San Pedro,86 Points,2021
1910,Tololo 2019 Cabernet Sauvignon (Colchagua Valley),$11,13.0,750,Red,Chile,Cabernet Sauvignon,Tololo,86 Points,2019
1911,Besserat de Bellefon 1990 Réserve Brut Millésimé  (Champagne),$500,12.0,750,Sparkling,Champagne,"Champagne Blend, Sparkling",Besserat de Bellefon,86 Points,1990
1912,Château des Moriers 2020 Miss Vicky Wine  (Fleurie),$8,13.0,250,Red,Beaujolais,Gamay,Château des Moriers,86 Points,2020
1913,Château Montfollet 2020 Le Valentin  (Blaye Côtes de Bordeaux),$30,15.0,750,Red,Bordeaux,Bordeaux-style Red Blend,Château Montfollet,86 Points,2020
1914,Château Rousset-Caillau 2020  Bordeaux Supérieur,$15,14.0,750,Red,Bordeaux,Bordeaux-style Red Blend,Château Rousset-Caillau,86 Points,2020
1915,Cuda Ridge 2019 Petit Verdot (Livermore Valley),$38,14.0,750,Red,Central Coast,Petit Verdot,Cuda Ridge,86 Points,2019
1916,Drum Roll 2020 Cabernet Manet Cabernet Sauvignon (Horse Heaven Hills),$20,13.0,750,Red,Columbia Valley,Cabernet Sauvignon,Drum Roll,86 Points,2020
1917,Drum Roll 2021 Chardonnay Monet Chardonnay (Columbia Valley (WA)),$18,14.0,750,White,Columbia Valley,Chardonnay,Drum Roll,86 Points,2021
1918,Forgeron 2019 Boushey Vineyard Syrah (Yakima Valley),$45,14.0,750,Red,Columbia Valley,Syrah,Forgeron,86 Points,2019
1919,Forgeron 2020 Otherworldly Chardonnay (Columbia Valley (WA)),$25,14.0,750,White,Columbia Valley,Chardonnay,Forgeron,86 Points,2020
1920,Helix 2020 Sangiovese (Columbia Valley (WA)),$32,13.0,750,Red,Columbia Valley,Sangiovese,Helix,86 Points,2020
1921,La Honda Winery 2020 Rosé (Santa Cruz County),$26,12.0,750,Rose,Central Coast,Rosé,La Honda Winery,86 Points,2020
1922,Loveblock 2020 Pinot Noir (Central Otago),$36,13.0,750,Red,New Zealand,Pinot Noir,Loveblock,86 Points,2020
1923,Michaud 2021 Riesling (Columbia Valley (WA)),$21,11.0,750,White,Columbia Valley,Riesling,Michaud,86 Points,2021
1924,Remy-Pannier 2021 Sur Lie  (Muscadet Sèvre et Maine),$16,11.0,750,White,Loire Valley,"Melon, Other White",Remy-Pannier,86 Points,2021
1925,Saracina 2019 Pick and Shovel Zinfandel (Mendocino County),$32,14.0,750,Red,Mendocino County,Zinfandel,Saracina,86 Points,2019
1926,Succession 2021 Viognier (Columbia Valley (WA)),$30,13.0,750,White,Columbia Valley,Viognier,Succession,86 Points,2021
1927,Santa Alicia 2020 Reserva Carménère (Maipo Valley),$11,13.0,750,Red,Chile,"Carmenère, Carmenère",Santa Alicia,86 Points,2020
1928,Varvaglione 2020 12 E Mezzo  (Primitivo del Salento),$15,12.0,750,Red,Southern Italy,"Primitivo, Zinfandel",Varvaglione,86 Points,2020
1929,Fire Road 2021 Sauvignon Blanc (Marlborough),$14,12.0,750,White,New Zealand,Sauvignon Blanc,Fire Road,86 Points,2021
1930,Cloud Watcher 2020 Cabernet Sauvignon (California),$11,13.0,750,Red,California Other,Cabernet Sauvignon,Cloud Watcher,86 Points,2020
1931,Harthill Farms NV Premium Vineyards Cabernet Sauvignon (California),$6,13.0,750,Red,California Other,Cabernet Sauvignon,Harthill Farms,86 Points,
1932,San Pedro 2021 Gato Negro Merlot (Central Valley),$5,13.0,750,Red,Chile,Merlot,San Pedro,86 Points,2021
1933,Bartholomew Estate 2021 Estate Grown Sauvignon Blanc (Sonoma Valley),$28,14.0,750,White,Sonoma,Sauvignon Blanc,Bartholomew Estate,86 Points,2021
1934,Firestone 2020 Merlot (Santa Ynez Valley),$20,13.0,750,Red,Central Coast,Merlot,Firestone,86 Points,2020
1935,Ironstone 2020 Reserve Estate Grown Cabernet Sauvignon (Sierra Foothills),$30,14.0,750,Red,Sierra Foothills,Cabernet Sauvignon,Ironstone,86 Points,2020
1936,Marchesi De'Cordano 2021 Meraviglia Pinot Grigio (Colline Pescaresi),$25,13.0,750,White,Central Italy,Pinot Grigio,Marchesi De'Cordano,86 Points,2021
1937,Mont Rubí 2021 L'Ancestral Blanc Paralleda (Penedès),$25,11.0,750,Sparkling,Catalonia,"Paralleda, Spanish White",Mont Rubí,86 Points,2021
1938,Nine Hats 2021 Riesling (Columbia Valley (WA)),$14,12.0,750,White,Columbia Valley,Riesling,Nine Hats,86 Points,2021
1939,Santa Carolina 2020 Reserva Merlot (Colchagua Valley),N/A,13.0,750,Red,Chile,Merlot,Santa Carolina,86 Points,2020
1940,Sparkman 2020 Wonderland Grenache (Columbia Valley (WA)),$35,14.0,750,Red,Columbia Valley,Grenache,Sparkman,86 Points,2020
1941,Sea Pearl 2021 Sauvignon Blanc (Marlborough),$12,13.0,750,White,New Zealand,Sauvignon Blanc,Sea Pearl,86 Points,2021
1942,Château Luchey 2020  Bordeaux Supérieur,$15,14.0,750,Red,Bordeaux,Bordeaux-style Red Blend,Château Luchey,86 Points,2020
1943,Cocobon 2020 Estates Roasted Oak Buttery Chardonnay (California),$6,13.0,750,White,California Other,Chardonnay,Cocobon,86 Points,2020
1944,Castle Rock 2018 Cabernet Sauvignon (Paso Robles),$12,14.0,750,Red,Central Coast,Cabernet Sauvignon,Castle Rock,86 Points,2018
1945,Winemakers Selection 2021 Classic Series Chardonnay (California),$5,13.0,750,White,California Other,Chardonnay,Winemakers Selection,86 Points,2021
1946,Acre 2019 Zinfandel (Napa Valley),$32,14.0,750,Red,Napa,Zinfandel,Acre,86 Points,2019
1947,Barker's Marque 2021 The Loop Sauvignon Blanc (Marlborough),N/A,12.0,750,White,New Zealand,Sauvignon Blanc,Barker's Marque,86 Points,2021
1948,Château Carignan 2020 Prima  (Cadillac Côtes de Bordeaux),$30,14.0,750,Red,Bordeaux,Bordeaux-style Red Blend,Château Carignan,86 Points,2020
1949,Château Robin 2020  Castillon Côtes de Bordeaux,$20,14.0,750,Red,Bordeaux,Bordeaux-style Red Blend,Château Robin,86 Points,2020
1950,Chloe 2020 Sauvignon Blanc (Marlborough),$17,12.0,750,White,New Zealand,Sauvignon Blanc,Chloe,86 Points,2020
1951,Columbia Winery 2020 Vision Red Blend Syrah-Merlot (Columbia Valley (WA)),$45,15.0,750,Red,Columbia Valley,"Syrah-Merlot, Red Blends",Columbia Winery,86 Points,2020
1952,French Blue NV Brut Rosé  (Crémant de Bordeaux),$27,12.0,750,Sparkling,Bordeaux,"Sparkling Blend, Sparkling",French Blue,86 Points,
1953,Intrinsic 2020 Red Blend Red (Columbia Valley (WA)),$22,14.0,750,Red,Columbia Valley,"Red Blends, Red Blends",Intrinsic,86 Points,2020
1954,Jules Taylor 2022 Grüner Veltliner (Marlborough),$20,12.0,750,White,New Zealand,Grüner Veltliner,Jules Taylor,86 Points,2022
1955,M.A.D. Dashe 2020 by Michael and Anne Dashe Zinfandel (Contra Costa County),$36,14.0,750,Red,Central Coast,Zinfandel,M.A.D. Dashe,86 Points,2020
1956,Mud House 2020 Pinot Noir (Central Otago),$20,13.0,750,Red,New Zealand,Pinot Noir,Mud House,86 Points,2020
1957,Pepper Bridge 2021 Sauvignon Blanc (Walla Walla Valley (WA)),$36,13.0,750,White,Columbia Valley,Sauvignon Blanc,Pepper Bridge,86 Points,2021
1958,Trasiego 2020 Red Quartz Pinot Noir (Casablanca Valley),$25,13.0,750,Red,Chile,Pinot Noir,Trasiego,86 Points,2020
1959,Fire Road 2020 Lighter Sauvignon Blanc (Marlborough),$15,9.0,750,White,New Zealand,Sauvignon Blanc,Fire Road,86 Points,2020
1960,Los Vascos 2022 Sauvignon Blanc (Colchagua Valley),$14,13.0,750,White,Chile,Sauvignon Blanc,Los Vascos,86 Points,2022
1961,Gen5 2021 Estate Grown Ancestral Red (California),$11,14.0,750,Red,California Other,"Red Blends, Red Blends",Gen5,86 Points,5
1962,Marchese di Borgosole 2021 Rosato (Puglia),$14,12.0,750,Rose,Southern Italy,"Rosato, Rosé",Marchese di Borgosole,86 Points,2021
1963,VIgnobles Ducourt 2022 André et Léon  (Bordeaux Blanc),$14,12.0,750,White,Bordeaux,Sauvignon Blanc,VIgnobles Ducourt,86 Points,2022
1964,Amrita 2018 Pinot Noir (Russian River Valley),$40,14.0,750,Red,Sonoma,Pinot Noir,Amrita,86 Points,2018
1965,Viña Marty 2019 Pacha Reserva Cabernet Sauvignon (Central Valley),$14,14.0,750,Red,Chile,Cabernet Sauvignon,Viña Marty,86 Points,2019
1966,Vino dei Fratelli 2021 Pinot Grigio (Friuli),$14,12.0,750,White,Northeastern Italy,Pinot Grigio,Vino dei Fratelli,86 Points,2021
1967,Cave de Chénas 2021 Sélection de la Hante  (Chénas),$30,13.0,750,Red,Beaujolais,Gamay,Cave de Chénas,86 Points,2021
1968,Chic Barcelona NV Mètode Tradicional Rosé (Cava),$10,11.0,750,Sparkling,Catalonia,Rosé,Chic Barcelona,86 Points,
1969,Domaine à Deux 2021  Saumur-Champigny,$18,12.0,750,White,Loire Valley,Sauvignon Blanc,Domaine à Deux,86 Points,2021
1970,Domaine Joncy 2020 Empreinte Quincié  (Beaujolais),$20,13.0,750,Red,Beaujolais,Gamay,Domaine Joncy,86 Points,2020
1971,Eternal 2018 Eternal Gratitude Merlot (Columbia Valley (WA)),$49,14.0,750,Red,Columbia Valley,Merlot,Eternal,86 Points,2018
1972,Marchesi De'Cordano 2021 Altavilla Collection Pinot Grigio (Terre di Chieti),$12,12.0,750,White,Central Italy,Pinot Grigio,Marchesi De'Cordano,86 Points,2021
1973,:Nota Bene 2017 Arianses Vineyard Red (Wahluke Slope),$30,14.0,750,Red,Columbia Valley,Bordeaux-style Red Blend,:Nota Bene,86 Points,2017
1974,Remy-Pannier 2021  Chinon,$20,12.0,750,Red,Loire Valley,Cabernet Franc,Remy-Pannier,86 Points,2021
1975,Vignerons des Pierres Dorées 2021  Beaujolais,$28,12.0,750,Red,Beaujolais,Gamay,Vignerons des Pierres Dorées,86 Points,2021
1976,Scotto Family Cellars 2020 Cabernet Sauvignon (Lodi),$15,13.0,750,Red,Central Valley,Cabernet Sauvignon,Scotto Family Cellars,85 Points,2020
1977,Cantina Zaccagnini 2021 Pinot Grigio (Colline Pescaresi),$18,12.0,750,White,Central Italy,Pinot Grigio,Cantina Zaccagnini,85 Points,2021
1978,Columbia Crest 2018 Reserve Wautoma Springs Vineyard Cabernet Sauvignon (Columbia Valley (WA)),$45,14.0,750,Red,Columbia Valley,Cabernet Sauvignon,Columbia Crest,85 Points,2018
1979,Domaine du Haut Bourg 2021 Sauvignon Blanc (Val de Loire),$15,12.0,750,White,Loire Valley,Sauvignon Blanc,Domaine du Haut Bourg,85 Points,2021
1980,Raeburn 2021 Rosé (Russian River Valley),$20,13.0,750,Rose,Sonoma,Rosé,Raeburn,85 Points,2021
1981,Santa Carolina 2020 Reserva Cabernet Sauvignon (Colchagua Valley),N/A,13.0,750,Red,Chile,Cabernet Sauvignon,Santa Carolina,85 Points,2020
1982,Santa Rita 2021 Medalla Real Gran Reserva Carmenere (Colchagua Valley),N/A,13.0,750,Red,Chile,"Carmenère, Carmenère",Santa Rita,85 Points,2021
1983,OZV 2021 Estate Grown Rosé of Primitivo (Lodi),$14,13.0,750,Rose,Central Valley,"Primitivo, Zinfandel",OZV,85 Points,2021
1984,Airfield Estates 2020 Merlot (Yakima Valley),$20,14.0,750,Red,Columbia Valley,Merlot,Airfield Estates,85 Points,2020
1985,Grounded Wine Co. 2021 Grounded by Josh Phelps Sauvignon Blanc (California),$15,13.0,750,White,California Other,Sauvignon Blanc,Grounded Wine Co.,85 Points,2021
1986,Hierogram 2021 Vineyard 8 Block Zinfandel (Lodi),$15,15.0,750,Red,Central Valley,Zinfandel,Hierogram,85 Points,2021
1987,Winemakers Selection 2020 Classic Series Red (California),$5,13.0,750,Red,California Other,"Red Blends, Red Blends",Winemakers Selection,85 Points,2020
1988,Cocobon NV Estates Red (California),$6,14.0,750,Red,California Other,"Red Blends, Red Blends",Cocobon,85 Points,
1989,Domaine Vieux Vauvert 2021 Medium Dry  (Vouvray),$19,11.0,750,White,Loire Valley,Chenin Blanc,Domaine Vieux Vauvert,85 Points,2021
1990,Drink Washington State 2020 Dip in Wahluke Slope Pinot Noir (Wahluke Slope),$34,14.0,750,Red,Columbia Valley,Pinot Noir,Drink Washington State,85 Points,2020
1991,Portal Del Alto 2018 RH+ Red Plus Red (Central Valley),$25,14.0,750,Red,Chile,Bordeaux-style Red Blend,Portal Del Alto,85 Points,2018
1992,"Saracina 2020 Day Ranch, Hollywood Hill Pinot Noir (Anderson Valley)",$38,14.0,750,Red,Mendocino County,Pinot Noir,Saracina,85 Points,2020
1993,Rayun 2019 Chardonnay (Central Valley),$10,13.0,750,White,Chile,Chardonnay,Rayun,85 Points,2019
1994,Château La Bourrée 2020  Castillon Côtes de Bordeaux,$15,14.0,750,Red,Bordeaux,Bordeaux-style Red Blend,Château La Bourrée,85 Points,2020
1995,Airfield Estates 2021 Sauvignon Blanc (Yakima Valley),$17,12.0,750,White,Columbia Valley,Sauvignon Blanc,Airfield Estates,85 Points,2021
1996,Cantina Zaccagnini 2020 Dal Tralcetto Pinot Grigio (Colline Pescaresi),$17,12.0,750,White,Central Italy,Pinot Grigio,Cantina Zaccagnini,85 Points,2020
1997,Château Tanesse 2021 Lion de Tanesse  (Bordeaux Blanc),$16,11.0,750,White,Bordeaux,Bordeaux-style White Blend,Château Tanesse,85 Points,2021
1998,Remy-Pannier 2021 Sauvignon Blanc (Touraine),$17,11.0,750,White,Loire Valley,Sauvignon Blanc,Remy-Pannier,85 Points,2021
1999,Tábla 2019 Pinot Noir (Sta. Rita Hills),$35,15.0,750,Red,Central Coast,Pinot Noir,Tábla,85 Points,2019
2000,Tussock Jumper 2021 Moscato Rosé Moscato (Valencia),$14,11.0,750,Rose,Levante,"Moscato, Muscat",Tussock Jumper,85 Points,2021
2001,Cantina Tollo 2021 Pietrame Pinot Grigio (Terre di Chieti),$11,12.0,750,White,Central Italy,Pinot Grigio,Cantina Tollo,85 Points,2021
2002,Cocobon NV Estates Roasted Oak Red (California),$6,14.0,750,Red,California Other,"Red Blends, Red Blends",Cocobon,85 Points,
2003,Rayun 2019 Cabernet Sauvignon (Central Valley),$10,13.0,750,Red,Chile,Cabernet Sauvignon,Rayun,85 Points,2019
2004,Joseph Thomas 2021 Chardonnay (California),$19,13.0,1,White,California Other,Chardonnay,Joseph Thomas,85 Points,2021
2005,Reininger 2020 Mr. Owl's Red Red (Walla Walla Valley (WA)),$25,13.0,750,Red,Columbia Valley,"Red Blends, Red Blends",Reininger,85 Points,2020
2006,St. Huberts The Stag 2020 Chardonnay (Santa Barbara County),$17,14.0,750,White,Central Coast,Chardonnay,St. Huberts The Stag,85 Points,2020
2007,Veramonte 2020 Reserva Chardonnay (Casablanca Valley),$14,14.0,750,White,Chile,Chardonnay,Veramonte,85 Points,2020
2008,Château La Roche Bazin 2020  Blaye Côtes de Bordeaux,$40,13.0,750,Red,Bordeaux,Bordeaux-style Red Blend,Château La Roche Bazin,84 Points,2020
2009,Château Maison Neuve 2020  Blaye Côtes de Bordeaux,$20,14.0,750,Red,Bordeaux,Merlot,Château Maison Neuve,84 Points,2020
