,Unnamed: 0,Name,Price,Alcohol,Bottle,Category,From,Variety,Winery,Score,Year
<<<<<<< HEAD
2458,2458,Pope Valley Winery 2018 Reserve Cabernet Sauvignon (Napa Valley),$85 ,14.0,750,1,Napa,Cabernet Sauvignon,Pope Valley Winery,92.0,2018.0
2459,2459,Quinta da Taboadella 2021 Encruzado Reserva Encruzado (Dão),$25 ,13.0,750,2,Portugal,"Encruzado, Portuguese White",Quinta da Taboadella,92.0,2021.0
2460,2460,Addendum 2018 Stagecoach Vineyard Cabernet Sauvignon (Atlas Peak),$135 ,14.0,750,1,Napa,Cabernet Sauvignon,Addendum,92.0,2018.0
2462,2462,Au Bon Climat 2019 Sanford & Benedict Vineyard Chardonnay (Santa Ynez Valley),$40 ,13.0,750,2,Central Coast,Chardonnay,Au Bon Climat,92.0,2019.0
2464,2464,Bien Nacido Estate 2020 Chardonnay (Santa Maria Valley),$50 ,13.0,750,2,Central Coast,Chardonnay,Bien Nacido Estate,92.0,2020.0
2465,2465,Brander 2021 Cuvée Nicolas Sauvignon Blanc (Los Olivos District),$28 ,14.0,750,2,Central Coast,Sauvignon Blanc,Brander,92.0,2021.0
2466,2466,Burtech Family 2019 The Beginning Private Family Reserve Red (Sonoma Valley),$200 ,14.0,750,1,Sonoma,Bordeaux-style Red Blend,Burtech Family,92.0,2019.0
2467,2467,Casa Relvas 2019 Herdade de São Miguel Friends Collection Red (Alentejano),$80 ,14.0,750,1,Portugal,Portuguese Red,Casa Relvas,92.0,2019.0
2468,2468,Casa Relvas 2020 Herdade de São Miguel Esquecido Arinto (Alentejano),$35 ,12.0,750,2,Portugal,"Arinto, Portuguese White",Casa Relvas,92.0,2020.0
2469,2469,Copain Wines 2019 Taylor Peak Cabernet Franc (North Coast),$90 ,13.0,750,1,North Coast,Cabernet Franc,Copain Wines,92.0,2019.0
2470,2470,Davies 2020 Pinot Noir (North Coast),$40 ,14.0,750,1,North Coast,Pinot Noir,Davies,92.0,2020.0
2474,2474,Eberle 2019 Eberle Estate Vineyard Cabernet Sauvignon (Paso Robles),$52 ,14.0,750,1,Central Coast,Cabernet Sauvignon,Eberle,92.0,2019.0
2475,2475,Casa Relvas 2020 Herdade de São Miguel Esquecido Arinto (Alentejano),$35 ,12.0,750,2,Portugal,"Arinto, Portuguese White",Casa Relvas,92.0,2020.0
2476,2476,Copain Wines 2019 Taylor Peak Cabernet Franc (North Coast),$90 ,13.0,750,1,North Coast,Cabernet Franc,Copain Wines,92.0,2019.0
2477,2477,Davies 2020 Pinot Noir (North Coast),$40 ,14.0,750,1,North Coast,Pinot Noir,Davies,92.0,2020.0
2481,2481,Eberle 2019 Eberle Estate Vineyard Cabernet Sauvignon (Paso Robles),$52 ,14.0,750,1,Central Coast,Cabernet Sauvignon,Eberle,92.0,2019.0
2482,2482,Ferrari Ranch 2020 Chardonnay (Santa Cruz Mountains),$42 ,14.0,750,2,Central Coast,Chardonnay,Ferrari Ranch,92.0,2020.0
2483,2483,Forest Hill 2020 Highbury Fields Cabernet Sauvignon (Great Southern),$20 ,14.0,750,1,Western Australia,Cabernet Sauvignon,Forest Hill,92.0,2020.0
2484,2484,Herdade Aldeia de Cima 2019 Reserva Red (Alentejano),$33 ,13.0,750,1,Portugal,Portuguese Red,Herdade Aldeia de Cima,92.0,2019.0
2485,2485,J. Lohr 2020 Hilltop Cabernet Sauvignon (Paso Robles),$35 ,15.0,750,1,Central Coast,Cabernet Sauvignon,J. Lohr,92.0,2020.0
2486,2486,Janzen 2019 Beckstoffer Missouri Hopper Cabernet Sauvignon (Napa Valley),$175 ,15.0,750,1,Napa,Cabernet Sauvignon,Janzen,92.0,2019.0
2487,2487,Johanneshof Reinisch 2019 Ried Spiegel Monopol Zierfandler (Thermenregion),$47 ,14.0,750,2,Austria,"Zierfandler, Other White",Johanneshof Reinisch,92.0,2019.0
2489,2489,Luca 2019 Nico Malbec (Mendoza),$125 ,14.0,750,1,Mendoza Province,Malbec,Luca,92.0,2019.0
2491,2491,Ministry Of Clouds 2019 Grenache (McLaren Vale),$25 ,14.0,750,1,South Australia,Grenache,Ministry Of Clouds,92.0,2019.0
2492,2492,Mr. Riggs 2018 Montepulciano (Adelaide),$28 ,14.0,750,1,South Australia,"Montepulciano, Italian Red",Mr. Riggs,92.0,2018.0
