,Unnamed: 0,Name,Price,Alcohol,Bottle,Category,From,Variety,Winery,Score,Year
<<<<<<< HEAD
1,1,Stag's Leap Wine Cellars 2019 Fay Estate Grown Cabernet Sauvignon (Stags Leap District),$155 ,14.0,750,Red,Napa,Cabernet Sauvignon,Stag's Leap Wine Cellars,100 Points,2019.0
2,2,Marqués de Riscal 2016 150 Aniversario Gran Reserva  (Rioja),$60 ,15.0,750,Red,Northern Spain,"Tempranillo Blend, Tempranillo",Marqués de Riscal,99 Points,2016.0
5,5,Stag's Leap Wine Cellars 2019 S.L.V. Estate Grown Cabernet Sauvignon (Stags Leap District),$195 ,14.0,750,Red,Napa,Cabernet Sauvignon,Stag's Leap Wine Cellars,99 Points,2019.0
6,6,Patrimony 2019 Cabernet Franc (Adelaida District),$275 ,14.0,750,Red,Central Coast,Cabernet Franc,Patrimony,98 Points,2019.0
7,7,Cliff Lede 2019 Poetry Red (Stags Leap District),$325 ,14.0,750,Red,Napa,"Red Blends, Red Blends",Cliff Lede,98 Points,2019.0
8,8,Emilio Moro 2018 Malleolus De Valderramiro  (Ribera del Duero),$151 ,14.0,750,Red,Northern Spain,Tempranillo,Emilio Moro,98 Points,2018.0
9,9,Corison 2019 Helios Sunbasket Vineyard Cabernet Franc (St. Helena),$110 ,13.0,750,Red,Napa,Cabernet Franc,Corison,98 Points,2019.0
10,10,Venge 2019 DLCV Cabernet Sauvignon (Oakville),$545 ,14.0,750,Red,Napa,Cabernet Sauvignon,Venge,98 Points,2019.0
12,12,Cliff Lede 2019 Rock Block Series Roundabout Midnight Cabernet Sauvignon (Stags Leap District),$110 ,14.0,750,Red,Napa,Cabernet Sauvignon,Cliff Lede,98 Points,2019.0
14,14,Cliff Lede 2019 Beckstoffer To Kalon Cabernet Sauvignon (Napa Valley),$225 ,14.0,750,Red,Napa,Cabernet Sauvignon,Cliff Lede,98 Points,2019.0
15,15,Cliff Lede 2019 Songbook Cabernet Sauvignon (Napa Valley),$225 ,14.0,750,Red,Napa,Cabernet Sauvignon,Cliff Lede,98 Points,2019.0
16,16,Patrimony 2019 Cabernet Sauvignon (Adelaida District),$275 ,14.0,750,Red,Central Coast,Cabernet Sauvignon,Patrimony,97 Points,2019.0
17,17,Masi 2013 Campolongo di Torbe  (Amarone della Valpolicella Classico),$190 ,16.0,750,Red,Veneto,"Corvina, Rondinella, Molinara, Italian Red",Masi,97 Points,2013.0
18,18,Tierra Roja 2019 Cabernet Sauvignon (Oakville),$175 ,14.0,750,Red,Napa,Cabernet Sauvignon,Tierra Roja,97 Points,2019.0
19,19,Vega Sicilia 2012 Unico  (Ribera del Duero),$620 ,14.0,750,Red,Northern Spain,"Tempranillo Blend, Tempranillo",Vega Sicilia,97 Points,2012.0
21,21,Stolpman 2020 Originals Syrah (Ballard Canyon),$42 ,14.0,750,Red,Central Coast,Syrah,Stolpman,97 Points,2020.0
22,22,Spottswoode 2019 Family Estate Grown Cabernet Sauvignon (St. Helena),$245 ,13.0,750,Red,Napa,Cabernet Sauvignon,Spottswoode,97 Points,2019.0
23,23,Tolosa 2020 Solomon Hills Vineyard Pinot Noir (Santa Maria Valley),$132 ,13.0,750,Red,Central Coast,Pinot Noir,Tolosa,97 Points,2020.0
24,24,Tres Perlas 2019 Desde Luisa Beckstoffer To Kalon Cabernet Sauvignon (Napa Valley),$250 ,15.0,750,Red,Napa,Cabernet Sauvignon,Tres Perlas,97 Points,2019.0
25,25,Garmón 2018  Ribera del Duero,$85 ,14.0,750,Red,Northern Spain,"Tinto Fino, Tempranillo",Garmón,97 Points,2018.0
26,26,Viñedos de Paganos 2018 La Nieta  (Rioja),$150 ,14.0,750,Red,Northern Spain,Tempranillo,Viñedos de Paganos,97 Points,2018.0
27,27,Taub Family Vineyards 2019 Beckstoffer Missouri Hopper Vineyard Cabernet Sauvignon (Napa Valley),$125 ,15.0,750,Red,Napa,Cabernet Sauvignon,Taub Family Vineyards,96 Points,2019.0
28,28,Testarossa 2020 Rincon Vineyard Pinot Noir (Arroyo Grande Valley),$74 ,14.0,750,Red,Central Coast,Pinot Noir,Testarossa,96 Points,2020.0
29,29,Tablas Creek 2020 Esprit de Tablas Red (Adelaida District),$65 ,13.0,750,Red,Central Coast,Rhône-style Red Blend,Tablas Creek,96 Points,2020.0
30,30,Bodegas Faustino 2004 Gran Faustino I Gran Reserva  (Rioja),$105 ,13.0,750,Red,Northern Spain,"Tempranillo Blend, Tempranillo",Bodegas Faustino,96 Points,2004.0
31,31,Pago de Carraovejas 2018 Cuesta de las Liebres  (Ribera del Duero),$275 ,15.0,750,Red,Northern Spain,Tempranillo,Pago de Carraovejas,96 Points,2018.0
32,32,Stolpman 2019 Sun & Earth Ruben Solorzano Red (Ballard Canyon),$98 ,14.0,750,Red,Central Coast,Rhône-style Red Blend,Stolpman,96 Points,2019.0
33,33,Tolosa 2020 Poletti Edna Ranch Chardonnay (Edna Valley),$94 ,13.0,750,White,Central Coast,Chardonnay,Tolosa,96 Points,2020.0
34,34,Tres Perlas 2019 Renteria 360 Vineyard Cabernet Sauvignon (Oakville),$165 ,15.0,750,Red,Napa,Cabernet Sauvignon,Tres Perlas,96 Points,2019.0
35,35,Davies Vineyard 2020 Hyde Vineyards Pinot Noir (Carneros-Napa Valley),$75 ,13.0,750,Red,Napa,Pinot Noir,Davies Vineyard,96 Points,2020.0
36,36,Sky Devil 2019 Reisacher Vineyard Cabernet Franc (Knights Valley),$325 ,15.0,750,Red,Sonoma,Cabernet Franc,Sky Devil,96 Points,2019.0
37,37,Bodegas Benjamin de Rothschild & Vega Sicilia 2017 Macán  (Rioja),$110 ,14.0,750,Red,Northern Spain,Tempranillo,Bodegas Benjamin de Rothschild & Vega Sicilia,96 Points,2017.0
